title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude
"M 6.5 - 42 km W of Sola, Vanuatu",6.5,16-08-2023 12:47,7,4,4,0,657,us,114,7.177,25.0,0,192.955,-14.0,167.0
"M 6.5 - 43 km S of Intipucá, El Salvador",6.5,19-07-2023 00:22,8,6,2,0,775,us,92,0.679,40.0,0,69.727,13.0,-88.0
"M 6.6 - 25 km ESE of Loncopué, Argentina",6.6,17-07-2023 03:05,7,5,4,0,899,us,70,1.634,28.0,0,171.371,-38.0,-70.0
"M 7.2 - 98 km S of Sand Point, Alaska",7.2,16-07-2023 06:48,6,6,4,1,860,us,173,0.907,36.0,0,32.571,54.0,-161.0
M 7.3 - Alaska Peninsula,7.3,16-07-2023 06:48,0,5,0,1,820,at,79,0.879451,172.8,1,21.0,54.0,-161.0
"M 6.6 - 277 km NNE of Codrington, Antigua and Barbuda",6.6,10-07-2023 20:28,5,4,4,1,802,us,95,2.454,37.0,0,10.0,20.0,-61.0
M 6.9 - Tonga,6.9,02-07-2023 10:27,4,4,4,1,741,us,136,1.179,23.0,0,229.0,-18.0,-175.0
M 7.2 - south of the Fiji Islands,7.2,15-06-2023 18:06,8,6,4,1,804,us,85,2.59,24.0,0,167.404,-23.0,-177.0
M 6.6 - Panama-Colombia border region,6.6,25-05-2023 03:05,6,6,4,1,733,us,50,2.163,129.0,0,10.0,9.0,-77.0
M 7.1 - southeast of the Loyalty Islands,7.1,20-05-2023 01:51,3,4,4,1,777,us,98,2.812,56.0,0,35.981,-23.0,170.0
M 7.7 - southeast of the Loyalty Islands,7.7,19-05-2023 02:57,5,4,4,1,927,us,277,3.111,15.0,0,18.027,-23.0,171.0
"M 7.6 - 95 km WNW of Hihifo, Tonga",7.6,10-05-2023 16:02,8,6,4,1,907,us,111,3.631,17.0,0,210.097,-16.0,-175.0
M 6.6 - south of the Fiji Islands,6.6,28-04-2023 03:13,0,2,4,0,670,us,52,5.123,50.0,0,598.467,-25.0,178.0
"M 7.1 - 170 km SSE of Teluk Dalam, Indonesia",7.1,24-04-2023 20:00,9,7,4,0,838,us,70,2.282,58.0,0,15.462,-1.0,99.0
"M 7.1 - Kermadec Islands, New Zealand",7.1,24-04-2023 00:41,8,7,4,1,777,us,126,0.708,23.0,0,43.063,-30.0,-178.0
M 6.7 - south of the Fiji Islands,6.7,18-04-2023 04:31,0,3,4,1,691,us,166,4.719,10.0,0,595.854,-22.0,179.0
"M 7.0 - 96 km N of Tuban, Indonesia",7.0,14-04-2023 09:55,5,3,4,0,818,us,131,1.881,31.0,0,594.028,-6.0,112.0
"M 6.5 - near the east coast of the Kamchatka Peninsula, Russia",6.5,03-04-2023 03:06,7,6,2,1,655,us,104,0.266,30.0,0,105.631,53.0,158.0
"M 7.0 - New Guinea, Papua New Guinea",7.0,02-04-2023 18:04,7,7,4,1,781,us,105,6.45,31.0,0,62.603,-4.0,143.0
"M 6.5 - 84 km NNW of San Antonio de los Cobres, Argentina",6.5,22-03-2023 16:00,4,4,4,0,656,us,97,1.622,33.0,0,209.976,-23.0,-67.0
"M 6.5 - 40 km SSE of Jurm, Afghanistan",6.5,21-03-2023 16:47,7,5,4,0,1350,us,134,2.53,13.0,0,187.589,37.0,71.0
M 6.8 - near the coast of Ecuador,6.8,18-03-2023 17:12,9,7,3,1,1159,us,152,0.709,28.0,0,65.842,-3.0,-80.0
M 7.0 - Kermadec Islands region,7.0,16-03-2023 00:56,8,5,4,1,756,us,116,1.789,22.0,0,22.065,-30.0,-176.0
"M 6.9 - Kermadec Islands, New Zealand",6.9,04-03-2023 06:41,5,5,4,1,735,us,108,0.784,18.0,0,205.681,-29.0,-179.0
"M 6.5 - 86 km WSW of Port-Olry, Vanuatu",6.5,02-03-2023 18:04,7,6,4,1,653,us,66,5.483,45.0,0,10.0,-15.0,166.0
"M 6.5 - 108 km NW of Kimbe, Papua New Guinea",6.5,01-03-2023 05:36,4,2,4,1,652,us,115,2.739,20.0,0,598.925,-5.0,149.0
"M 6.8 - 67 km W of Murghob, Tajikistan",6.8,23-02-2023 00:37,9,7,4,0,737,us,128,1.783,20.0,0,20.522,38.0,73.0
"M 7.5 - 4 km SSE of Ekinözü, Turkey",7.5,06-02-2023 10:24,9,9,3,0,1411,us,135,0.85,17.0,0,10.0,38.0,37.0
"M 6.7 - 18 km ESE of Nurdağı, Turkey",6.7,06-02-2023 01:28,9,8,2,0,800,us,108,0.218,44.0,0,14.497,37.0,37.0
M 7.8 - Central Turkey,7.8,06-02-2023 01:17,9,9,1,0,2910,us,118,1.919,32.0,0,17.925,37.0,37.0
M 6.8 - ,6.8,20-01-2023 22:09,4,3,4,0,718,us,60,5.129,61.0,0,610.671,-27.0,-63.0
"M 7.0 - 153 km NW of Tobelo, Indonesia",7.0,18-01-2023 06:06,3,5,4,1,756,us,130,1.974,17.0,2,28.566,3.0,127.0
"M 7.6 - Pulau Pulau Tanimbar, Indonesia",7.6,09-01-2023 17:47,5,7,4,0,957,us,114,1.575,21.0,0,105.249,-7.0,130.0
M 7.0 - Vanuatu,7.0,08-01-2023 12:32,8,7,4,1,768,us,116,6.096,36.0,0,29.0,-15.0,167.0
"M 6.8 - 109 km NE of Hihifo, Tonga",6.8,04-12-2022 19:24,5,5,4,1,720,us,152,2.587,26.0,0,38.0,-15.0,-173.0
